index,is_hatespeech,class,text
0,0,0,rt as woman complain cleaning house amp man always take trash out
1,1,0,rt boy dats coldtyga dwn bad cuffin dat hoe 1st place
2,1,0,rt dawg rt you ever fuck bitch start cry you confused shit
3,1,0,rt look like tranny
4,1,0,rt the shit hear might true might faker bitch told ya
5,1,0,the shit blows meclaim faithful somebody still fucking hoes
6,1,0,i sit hate another bitch i got much shit going on
7,1,0,cause im tired big bitches coming us skinny girls
8,1,0,amp might get ya bitch back amp thats
9,1,0,hobbies include fighting mariam bitch
10,1,0,keeks bitch curves everyone lol i walked conversation like this smh
11,1,0,murda gang bitch gang land
12,1,0,so hoes smoke losers yea go ig
13,1,0,bad bitches thing like
14,1,0,bitch get
15,1,0,bitch nigga miss
16,1,0,bitch plz whatever
17,1,0,bitch love
18,1,0,bitches get cut everyday b
19,1,0,black bottle amp bad bitch
20,1,0,broke bitch cant tell nothing
21,1,0,cancel bitch like nino
22,1,0,cant see hoes wont change
23,1,0,fuck bitch dont even suck dick kermit videos bout fuck ig
24,1,0,got ya bitch tip toeing hardwood floors
25,1,0,pussy lips like heaven doors
26,1,0,hoe hitting
27,1,0,met pussy ocean dr gave pussy pill
28,1,0,need trippy bitch fuck hennessy
29,1,0,spend money want bitch business
30,1,0,txt old bitch new bitch pussy wetter
31,1,0,id say im back old old bitches would get excited
32,1,0,aint bout murder game pussy nigga shut
33,1,0,toes aint done pussy stinks
34,1,0,im done bitter bitches wrap angry bird theres app
35,1,0,ya bitch
36,1,0,aint nothing cut bitch
37,1,0,jus meet son ya mane ass bitches shots
38,1,0,lames crying hoes thats tears clown
39,1,0,like snoop said 94 dont love hoes
40,0,0,momma said pussy cats inside doghouse
41,1,0,hated hoes favorite 2mw sevenone
42,1,0,nice girls bad make get naughty bad yello hoe real nice body down south chick like em real thick
43,1,0,pimps pimps hoes future voice
44,1,0,post picture pussy get 200 likes
45,1,0,pussy powerful drug happyhumpday
46,1,0,quick piece pussy call drive
47,1,0,running round like brand new pussy thats bout get fucked
48,1,0,bitches even worst theyll send guys
49,1,0,hoes like niggas spend money talk bout
50,1,0,dont trust niggas bitches
51,1,0,yall niggas b cuffing hoes cause yall aint never bitches
52,1,0,dodge bullet all da bitches i cut pregnant bound thank god
53,1,0,young pill chamberlain bitches love music
54,1,0,teanna trump probably cleaner twitter hoes but
55,1,0,gay niggas wait act like bitches tonight
56,1,0,and ima steal cat n replace pitbull rt he bitch it
57,1,0,amp hes gone always hoe
58,1,0,son bitch took tic tacs i like movie
59,1,0,all i wanna get money fuck model bitches russell simmons
60,1,0,i probably wouldnt mind school much didnt deal bitch ass teachers retweet
61,1,0,im fucking fag said
62,1,0,females think dating pussy cute now stuff make pussy
63,0,0,simplyaddictedtoguys woof woof hot scally lad
64,1,0,have ya ever asked bitch bitches kanye voice yes
65,1,0,how u gone bring ur side bitch game you know ya gf friends i swear
66,0,0,woof woof hot soles
67,0,0,lemmie eat oreo amp dishes one oreo lol
68,1,0,bitch fuck u maybe get better just
69,1,0,fuck red malone man bitch ass niggah could please use complete sentences
70,0,0,why eggplant emoji doey say looked like scream lmao
71,1,0,hennessey venom gt thats one sexy bitch
72,1,0,him seh pussy wetter shower curtainahmesehwetnessltlmao
73,1,0,eaglesnation every eagles need see pic i posted bitch said racist shit
74,1,0,yo fuck skateboarding yall wood pushing faggots man ball life
75,0,0,baby monkey bathtime awwwwe this soooo adorable
76,1,0,i aint shit damn skippy lol
77,1,0,u ever kill ant sidewalk think damn nigga way get pussyno bs must b gt30chance
78,1,0,0 rings 0 mvps 0 bitches lol
79,1,0,ppl talk bad ghettohood kid growing up nigga funnnnnnn
80,1,0,the facts tattoostattoo hes pussy tattooing nipples
81,1,0,rt bitches wanting act like niggas bad shit aint cuteeeee niggas act like bitches
82,1,0,get worshiping bitch woof woof
83,1,0,wow rt im lost are buttcheek piercings yeah hoe
84,1,0,ok sis shed rather broke bitch shrugs shell tell works
85,1,0,queer gaywad
86,1,0,faggot read tweets dat k even funny lol
87,1,0,this bitch ungrateful fr lulwhore
88,1,0,i kidnapped yo bitch
89,1,0,alsarabsss hes beaner smh tell hes mexican
90,1,0,happy birthday nigs thanks yo
91,1,0,ur teacher tells u u homework bitch need go
92,1,0,nigga eating hoe lol hell yea lol john paul nigga said john paul
93,1,0,what would yall lil ugly bald headed bitches stop making makeup amp weave
94,1,0,leafs better win damn game i go riot shit earlychristmas better start looting nig
95,1,0,going back school sucks dick hoes attend it
96,1,0,on way fuck yo bitch 9 year old
97,1,0,come never bring food dont car retard
98,1,0,if richnow show hella tinder hoes im friend anymore chill i brought like like 8 prople
99,1,0,how bout cowboys shutup pussy
100,1,0,lmaooooooooooo nigga ltbitch want likes depressing shitfoh
101,1,0,girl know i spitting g shit amp going lbvsbitch plz
102,1,0,let make couple tweets cuzzo page i get twitter jaillmao bitch trick
103,1,0,harlem shake excuse go full retard 30 seconds
104,1,0,amen miley need act like hoe bc emotionally damaged foh
105,1,0,one loyal female wayyyyy better hoes idc
106,1,0,pussy licking pussy meow meow stopwhitepeople2014
107,1,0,check 12th man cowboysnation even faggot ny fans stands
108,1,0,what happen vixen ent bitches got ran threw side like foothill bitch
109,1,0,im bitch okay nudes pat wow
110,1,0,fucking gay blacklisted hoe holding tehgodclan anyway
111,1,0,the fuck wrong bitches nobody knows
112,1,0,yall shut upp make bitch
113,1,0,i hate im pregnant type bitch
114,1,0,got bitches dm i ever readem top 3
115,0,0,baseball season win yankees this love started
116,1,0,little stupid bitch i fuck yoooooouuuu
117,1,0,really asked dead ass serious tho could say bitch wheet lol
118,0,0,im early bird im night owl im wise worms
119,0,0,overdosing heavy drugs sound bad tonight i pussy shit every day
120,0,0,pit bulls photographed as lovely fairy tale creatures they are fairy tale creatures
121,1,0,aw fag tweet aw lol
122,0,0,as long lakers trash on i could careless and thats real cc hahaha
123,1,0,i say anything tho kiss faggot
124,0,0,i play soccer cheat girls wear khaki coloured cargos haircut yup
125,1,0,i could go fat ass bitch lap
126,1,0,17 missed calls das yo po bitch twitter finna screamn freemoneymelle
127,1,0,ya side bitch gotta know rules shitanybody ask cousin jersey thinkin bout moving lmmfao
128,1,0,3 amo los pies fuck yeah
129,1,0,these hoes thinking meat slap ass ainna bruh
130,1,0,yall bitches wit edges talking
131,1,0,yall still going trick treating year nahhell yeah ima da sweet tooth bandit steal bitches bags n shit
132,1,0,i wanna sex mom fuck right pussy i came from damn got hacked like fuck
133,1,0,if kiss u eyes open watch bitchlmfao
134,1,0,you woulda coulda shoulda ass hoe
135,1,0,happy bday bitch ass nigga bitch roll up
136,1,0,used send bitch up
137,1,0,ugly bitches like im wcw duh bitch aint nobody elses
138,1,0,nigga know hacky sack hoes nah i throw look passes lmao
139,1,0,glad im getting outta atlanta nothing bunch niggas amp outta jail amp dumb bitches mad kids fuckin em
140,0,0,this ghettoits smart im idc
141,1,0,i would wife hoe cuz care cheating other why force relationship first place
142,1,0,being single excuse hoe
143,1,0,white boy power bitch black power bitch
144,1,0,lets get drunk get blowed spit shit spark blunts amp fuck hoes bro white dudes chill
145,1,0,bitch u been around world back where been
146,1,0,i get dick sucked yo party bad bitch im fr gone set by
147,1,0,oomf soooo cute but probably hoes lot
148,1,0,in every cartoon alway saving hoes lmao lmao damn captain saveahoe
149,0,0,who wants get nose bad bois scally chav sockfetish stinking hot sox legs
150,1,0,i wish i bitch like brother keezy ooooow i bet
151,1,0,if dressed cat halloween basic or pussy
152,1,0,can pornhub get gaming stream feature dumb bitches gtfo get katielt3
153,1,0,stop scared choke sex u bitch ass niggas shell like it says guy hits women bed foh
154,1,0,ha well iguess i make hoes loyal bro theyll never loyal hoes nig
155,1,0,oh man its 5 am molly ho fuck ya seed at fixed
156,1,0,youre man refer every girl bitch
157,1,0,lmfao cat started beating shit me nigga finally got pussy my nigga
158,0,0,peel peel bring back rewind back im move shaq line ooooow tf said trash
159,1,0,io io alu record ho vine sai pe hahahaha lol anywaaaaaays haha
160,1,0,naw old tape new cover upcoming mixtape kingofthehill yeah im waiting hoe mayne
161,1,0,ol dirty foot ass bitches funny me
162,1,0,thats i get yellow flags amazing hell yeah niggy
163,1,0,dont got time bitches actin iffy
164,0,0,ucfpinkparty come stay alive knights nation this still early bird special comeatmeut
165,1,0,these hoes aint loyal aint smfh amp wonder nobody decent wants
166,1,0,bruh studs keep thinking im soft hell ask ya girl many times screamed bitch oh okay stfu bye hoe
167,1,0,dry pussy bitches always blame condom
168,1,0,shut yo bitch ass up
169,1,0,gucci mane jail dropping mixtapes every month hoes cant even text back
170,1,0,you love hoes money wats wrong niggas
171,1,0,a loyal bitch burbs without daddy issues like finding holographic mewtwo sounding like lol
172,1,0,easy cum easy hoe thats fact
173,1,0,charlie sheen real major fucking respect charlie sheen
174,1,0,wish i bae you got hoes tho
175,1,0,fuck twerking bitch cook
176,1,0,bitch wtf
177,1,0,shut zoe fight pussy zoe im good man you good maam move along
178,1,0,lmao fucking snake bitches em
179,1,0,big booty hoes everywhere sheesh damn
180,0,0,stay tuned update report 1b 810 weeks bum
181,0,0,i play soccer cheat girls wear khaki coloured cargos haircut yes lmfao
182,1,0,oregon chokes every year get field trash ass program rft
183,1,0,def cowboy lol rt terrell owens best eagle amp cowboy ever dude cried like bitch tv romo
184,1,0,lmfaoooo i hate black people this theres black people niggers
185,1,0,how could u bitch potent
186,0,0,pissed lad past out i would lick dirty soles slept
187,0,0,love frat boy w soft long soles
188,0,0,sexy lad hot soles arches
189,1,0,nah fam i gotta cheat hoes depends female feel
190,0,0,i got hicks lol
191,1,0,this new twitter confusing shit me go back south america bitch
192,1,0,toto means ass vaginai think pussy cause toto santi like nasty pussy
193,1,0,actually choose ugly bitch you her ass must fat
194,1,0,bitch kill vibe ya tried dis love miley
195,1,0,im tired bitches saying i look mean nigga big af wear tight shirts grim everybody
196,0,0,10 birds grandkids may never see thanks climate change climate
197,1,0,stay beautiful bitch
198,1,0,wutkinda r purple ceeeleeeman gurl jus playin stupid hoe track but still shitted sum gurls
199,1,0,money getting taller bitches getting blurry
200,1,0,i aint never seen bitch obsessed nigga im obsessed mine
201,1,0,kobe stay talking trash but lets forget i meant one smh
202,1,0,at least im nigger lmfao
203,1,0,people always asking im mixed with she bad asian bitch lol
204,1,0,ariza snake coward least cripple like hero roach lmaoo
205,0,0,fosters home imaginary trash whoa chill that show everything tf
206,1,0,i lowkey tired if tired quiet go sleep hoe
207,1,0,stop bringing weird niggers mentions
208,1,0,we love hoes
209,1,0,if yo girl cant homeboys ol weak bitch ass nigga
210,1,0,i think worst advice i gave pussy speed up lol
211,1,0,quote tweet favorite animalpussy
212,1,0,i hate strippers tell theyre dancers hoe ballet dancers pop pussy beethoven you stripper
213,1,0,andrewbryant poff double vision 2 beers poff double pussy smh
214,1,0,when bitches twerk computer me in ya ya damn
215,1,0,prince this art nobody takin bitch
216,0,0,61 welfaregovernment aid claimed white people so yall black slander trash now
217,1,0,these bitches care play role
218,1,0,it took find me i hiding in lime tree dis bitch da wrong tree bro
219,1,0,drakes new shoes released nikejordan yes theres glitter shoes dudes fag
220,0,0,inna di ghetto you alone lmaoo
221,0,0,hoes austin teach us austini teach u get curved thats i know
222,1,0,bitches cant cook know suck dick so ones both
223,1,0,fat hoes get chose lol
224,1,0,hoesaintloyal well theyre hoesno one expects loyal
225,1,0,ol bitch ass
226,1,0,bruh im tired niggas retweetin miley cyrus naked bitch aint types bad lmaooo
227,1,0,just tony romo mavs game dont mean still bitch lmao fuk cowgirls lol bitch fuck
228,1,0,holy shit freddie highmore charlie chocolate factory me rolls floor laughing
229,1,0,i want sex gf i feel like im using her anonymous whata faggot
230,1,0,one followers somebody bitch
231,1,0,if ya bitch always bitching clearly care or annoying bitch
232,1,0,these catfish hoes thinkin slick but niggas catching
233,1,0,cant worry bitch aint worried bout me real
234,1,0,side hoes insecure niggas cant handle real one
235,1,0,rt lmao this bitch come scooting tent like fuck shit up
236,1,0,my cousin said share hoes brothers he said sharing caring love brothers
237,1,0,im hungry ionn wanna spend money foodbroke hoe problems
238,1,0,dese hoes lyin us nigga
239,1,0,oh yeah fuck bitch
240,0,0,eli manning threw nflleading 27th interception season lmao trash
241,0,0,usc senior rb anthony brown calls head coach steve sarkisian racist quits team hes bitch
242,1,0,guess what i also zero time mansplaining adios stfu pussy
243,0,0,chilling sexy scally lad
244,1,0,i aint sharing bitch mines mines
245,1,0,money impress simple broke bitches
246,1,0,pisces never anybodys bitch let people control change them rigghhht
247,0,0,tuku ho idk blah blah blah
248,0,0,im mad cuh hahaha suure tuku ho ita
249,1,0,these hoes crazy
250,1,0,you aint ever gonna slice bitch kevin hart
251,1,0,oomf fuckin fine tho dam her bitch
252,1,0,i wonder girl gave head 24 boys drink magaluf twitter probly sends nudes fags
253,1,0,newsatquestions yeah bitch yeah bitch call a maybe b steveo c later d jesse pinkman
254,1,0,hickies thighs right pussy gtgtgt its right
255,1,0,would still love im longer young beautiful no ugly monkey ass
256,1,0,yall come frontbitch i aint coming
257,1,0,faggot bitch
258,1,0,yea im ipad i work friday lets ball faggot work 25
259,0,0,scally lad would get
260,1,0,gerryshalloweenparty halloween yesterday stupid nigger
261,1,0,chrus still supahot tho walks teacher test drops test bitch fohead
262,1,0,i love eating pussy lol i never get full lol i eat shit forever lol ever
263,1,0,no slushes hoes nasty anyway famthem hoes taste like meds
264,1,0,no slushes hoes nasty anyway fam
265,1,0,bobby bitchby getting live fuck hell yea play hoe workout
266,1,0,yo bitch gucci mane rt my bitch stoner
267,1,0,i ride bitch handle bars
268,1,0,and aint hoe get traphoussseeeee
269,0,0,15 sad tv character deaths were still bitter over stark man
270,1,0,these harbor bitches party bus hoes lol all
271,1,0,pussy love
272,1,0,ultraviolence video coming little bitch mtvhottest lana del rey bitchy promo
273,1,0,on way fuck bitch lmfao kittycopter
274,0,0,a smuggler explains helped fighters along jihadi highway
275,1,0,aww avis look cute together i gotta get ike avi bitch
276,1,0,its simple dont hoedont worry exposed fight mewhy
