index,is_hatespeech,class,text
0,0,0,rt mayasolovely as a woman you shouldnt complain about cleaning up your house amp as a man you should always take the trash out
1,1,0,rt mleew17 boy dats coldtyga dwn bad for cuffin dat hoe in the 1st place
2,1,0,rt urkindofbrand dawg rt 80sbaby4life you ever fuck a bitch and she start to cry you be confused as shit
3,1,0,rt cganderson vivabased she look like a tranny
4,1,0,rt shenikaroberts the shit you hear about me might be true or it might be faker than the bitch who told it to ya 57361
5,1,0,tmadisonx the shit just blows meclaim you so faithful and down for somebody but still fucking with hoes 128514128514128514
6,1,0,brighterdays i can not just sit up and hate on another bitch i got too much shit going on
7,1,0,8220selfiequeenbri cause im tired of you big bitches coming for us skinny girls8221
8,1,0,amp you might not get ya bitch back amp thats that
9,1,0,rhythmixx hobbies include fighting mariam bitch
10,1,0,keeks is a bitch she curves everyone lol i walked into a conversation like this smh
11,1,0,murda gang bitch its gang land
12,1,0,so hoes that smoke are losers yea go on ig
13,1,0,bad bitches is the only thing that i like
14,1,0,bitch get up off me
15,1,0,bitch nigga miss me with it
16,1,0,bitch plz whatever
17,1,0,bitch who do you love
18,1,0,bitches get cut off everyday b
19,1,0,black bottle amp a bad bitch
20,1,0,broke bitch cant tell me nothing
21,1,0,cancel that bitch like nino
22,1,0,cant you see these hoes wont change
23,1,0,fuck no that bitch dont even suck dick 128514128514128514 the kermit videos bout to fuck ig up
24,1,0,got ya bitch tip toeing on my hardwood floors 128514 httptcocou2wq5l4q
25,1,0,her pussy lips like heaven doors 128524
26,1,0,hoe what its hitting for
27,1,0,i met that pussy on ocean dr i gave that pussy a pill 128524
28,1,0,i need a trippy bitch who fuck on hennessy
29,1,0,i spend my money how i want bitch its my business
30,1,0,i txt my old bitch my new bitch pussy wetter
31,1,0,id say im back to the old me but my old bitches would get excited 128524
32,1,0,if you aint bout that murder game pussy nigga shut up
33,1,0,if youre toes aint done you pussy stinks
34,1,0,im done with bitter bitches its a wrap for that if you a angry bird theres a app for that
35,1,0,is that ya bitch
36,1,0,it aint nothing to cut a bitch off
37,1,0,jus meet son now he ya mane ass bitches shots
38,1,0,lames crying over hoes thats tears of a clown
